NUTS_ID,poverty_rate,category,country,country_code,risk_category
AT1,20.0,19.5 – < 25.0,AT,AT,Medium-High
AT11,10.0,< 12.5,AT,AT,Very Low
AT12,12.4,< 12.5,AT,AT,Very Low
AT13,28.2,25.0 – < 33.0,AT,AT,High
AT2,14.8,12.5 – < 15.5,AT,AT,Low
AT21,15.7,15.5 – < 19.5,AT,AT,Medium-Low
AT22,14.4,12.5 – < 15.5,AT,AT,Low
AT3,14.3,12.5 – < 15.5,AT,AT,Low
AT31,15.0,12.5 – < 15.5,AT,AT,Low
AT32,11.1,< 12.5,AT,AT,Very Low
AT33,13.4,12.5 – < 15.5,AT,AT,Low
AT34,17.9,15.5 – < 19.5,AT,AT,Medium-Low
BE1,37.3,≥ 33.0,BE,BE,Very High
BE10,37.3,≥ 33.0,BE,BE,Very High
BE2,12.9,12.5 – < 15.5,BE,BE,Low
BE21,15.9,15.5 – < 19.5,BE,BE,Medium-Low
BE22,11.7,< 12.5,BE,BE,Very Low
BE23,13.1,12.5 – < 15.5,BE,BE,Low
BE24,10.2,< 12.5,BE,BE,Very Low
BE25,11.2,< 12.5,BE,BE,Very Low
BE3,21.8,19.5 – < 25.0,BE,BE,Medium-High
BE31,16.9,15.5 – < 19.5,BE,BE,Medium-Low
BE32,26.7,25.0 – < 33.0,BE,BE,High
BE33,20.5,19.5 – < 25.0,BE,BE,Medium-High
BE34,17.7,15.5 – < 19.5,BE,BE,Medium-Low
BE35,17.8,15.5 – < 19.5,BE,BE,Medium-Low
BG3,33.5,≥ 33.0,BG,BG,Very High
BG31,35.8,≥ 33.0,BG,BG,Very High
BG32,36.6,≥ 33.0,BG,BG,Very High
BG33,26.3,25.0 – < 33.0,BG,BG,High
BG34,35.8,≥ 33.0,BG,BG,Very High
BG4,27.3,25.0 – < 33.0,BG,BG,High
BG41,20.1,19.5 – < 25.0,BG,BG,Medium-High
BG42,38.3,≥ 33.0,BG,BG,Very High
CH01,24.5,19.5 – < 25.0,CH,CH,Medium-High
CH02,19.1,15.5 – < 19.5,CH,CH,Medium-Low
CH03,21.2,19.5 – < 25.0,CH,CH,Medium-High
CH04,14.7,12.5 – < 15.5,CH,CH,Low
CH05,16.2,15.5 – < 19.5,CH,CH,Medium-Low
CH06,13.7,12.5 – < 15.5,CH,CH,Low
CH07,33.1,≥ 33.0,CH,CH,Very High
CZ01,11.7,< 12.5,CZ,CZ,Very Low
CZ02,11.0,< 12.5,CZ,CZ,Very Low
CZ03,8.8,< 12.5,CZ,CZ,Very Low
CZ04,12.5,12.5 – < 15.5,CZ,CZ,Low
CZ05,9.5,< 12.5,CZ,CZ,Very Low
CZ06,10.0,< 12.5,CZ,CZ,Very Low
CZ07,11.7,< 12.5,CZ,CZ,Very Low
CZ08,16.3,15.5 – < 19.5,CZ,CZ,Medium-Low
DE1,18.8,15.5 – < 19.5,DE,DE,Medium-Low
DE11,19.9,19.5 – < 25.0,DE,DE,Medium-High
DE12,19.4,15.5 – < 19.5,DE,DE,Medium-Low
DE13,17.4,15.5 – < 19.5,DE,DE,Medium-Low
DE14,17.1,15.5 – < 19.5,DE,DE,Medium-Low
DE2,15.2,12.5 – < 15.5,DE,DE,Low
DE21,15.0,12.5 – < 15.5,DE,DE,Low
DE22,15.3,12.5 – < 15.5,DE,DE,Low
DE23,13.0,12.5 – < 15.5,DE,DE,Low
DE24,15.1,12.5 – < 15.5,DE,DE,Low
DE25,19.4,15.5 – < 19.5,DE,DE,Medium-Low
DE26,14.7,12.5 – < 15.5,DE,DE,Low
DE27,13.7,12.5 – < 15.5,DE,DE,Low
DE3,21.5,19.5 – < 25.0,DE,DE,Medium-High
DE30,21.5,19.5 – < 25.0,DE,DE,Medium-High
DE4,19.3,15.5 – < 19.5,DE,DE,Medium-Low
DE40,19.3,15.5 – < 19.5,DE,DE,Medium-Low
DE5,34.9,≥ 33.0,DE,DE,Very High
DE50,34.9,≥ 33.0,DE,DE,Very High
